Date,Region,Country,Supplier Name,Inventory,Lead Time (days),Transport Status,News Sentiment,Weather Condition,Risk Factor,Sentiment Analysis,Sentiment Score,Risk Analysis,Risk Confidence
2024-12-13,Africa,Brazil,Randall-Parker,26137,19,In Transit,Tomato prices soar due to unexpected frost in the region.,Strong winds causing crop damage,High,LABEL_0,0.565018355846405,neutral,0.740469217300415
2024-06-29,Oceania,Australia,Davila-Padilla,24390,6,Delayed,Tomato prices soar due to unexpected frost in the region.,Drought leading to crop failure,High,LABEL_0,0.565018355846405,contradiction,0.6706845164299011
2024-05-27,Africa,South Africa,Brooks-Miller,37057,23,Awaiting Dispatch,Pest infestation reduces tomato output in key regions.,Sunny and favorable for farming,High,LABEL_0,0.7376754879951477,neutral,0.8307200074195862
2024-06-26,South America,China,Daniels Group,40084,15,Delayed,Tomato prices soar due to unexpected frost in the region.,High humidity increasing pest risks,High,LABEL_0,0.565018355846405,neutral,0.825331449508667
2024-02-03,North America,South Africa,Webster-Dorsey,34891,18,In Transit,Delays in transportation cause supply chain disruptions.,Heavy rainfall causing waterlogging,High,LABEL_0,0.8567883372306824,neutral,0.8299795389175415
2024-07-25,Asia,South Africa,"Williams, Mendoza and Morris",14877,15,Awaiting Dispatch,Export restrictions lead to surplus in local markets.,Mild rainfall aiding crop growth,Medium,LABEL_0,0.5000081062316895,neutral,0.9062047004699707
2024-08-25,North America,USA,Bradley LLC,74252,25,In Transit,Heavy rainfall damages crops in major producing areas.,Strong winds causing crop damage,High,LABEL_0,0.8395679593086243,contradiction,0.5652441382408142
2024-02-07,Europe,Australia,George-Molina,37974,28,Delayed,Government announces subsidies for tomato farmers.,Drought leading to crop failure,High,LABEL_1,0.7901261448860168,neutral,0.6426907181739807
2024-03-17,Europe,Canada,Scott LLC,7442,15,In Transit,Tomato prices soar due to unexpected frost in the region.,High humidity increasing pest risks,Medium,LABEL_0,0.565018355846405,neutral,0.860298752784729
2024-11-10,Africa,India,"Jacobson, Montgomery and Andersen",23899,9,In Transit,Farmers report higher yields thanks to favorable weather.,Sunny and favorable for farming,Low,LABEL_2,0.8424614071846008,neutral,0.908456563949585
2024-03-25,North America,Canada,Miller-Juarez,44542,29,In Transit,Tomato prices soar due to unexpected frost in the region.,Sunny and favorable for farming,High,LABEL_0,0.565018355846405,neutral,0.779246985912323
2024-05-31,Africa,Brazil,"Newton, Walters and Harris",70995,23,Delayed,Heavy rainfall damages crops in major producing areas.,Unexpected frost damaging crops,High,LABEL_0,0.8395679593086243,contradiction,0.51031893491745
2024-01-26,North America,South Africa,Williams-Jones,72544,24,In Transit,Pest infestation reduces tomato output in key regions.,Mild rainfall aiding crop growth,High,LABEL_0,0.7376754879951477,neutral,0.8662337064743042
2024-09-26,Oceania,South Africa,White-Turner,81444,22,Delayed,Farmers report higher yields thanks to favorable weather.,Strong winds causing crop damage,High,LABEL_2,0.8424614071846008,contradiction,0.7408039569854736
2024-09-12,North America,Canada,Perez LLC,13514,26,Delayed,Delays in transportation cause supply chain disruptions.,Sunny and favorable for farming,High,LABEL_0,0.8567883372306824,neutral,0.8137013912200928
2024-07-07,Oceania,Australia,"Patton, Johnson and Farmer",75798,30,In Transit,Drought conditions lead to reduced tomato supply.,Heavy rainfall causing waterlogging,High,LABEL_0,0.75569087266922,contradiction,0.9850605130195618
2024-12-14,Oceania,Canada,Mitchell Group,42456,28,Delayed,Labor shortages affect harvesting in rural areas.,Heavy rainfall causing waterlogging,High,LABEL_0,0.5824687480926514,neutral,0.7697149515151978
2024-04-27,Oceania,Germany,"Mitchell, Tyler and Johns",75982,27,Awaiting Dispatch,Farmers report higher yields thanks to favorable weather.,Heavy rainfall causing waterlogging,High,LABEL_2,0.8424614071846008,neutral,0.5022594928741455
2024-01-26,Asia,China,Nelson PLC,1707,23,Delayed,Delays in transportation cause supply chain disruptions.,Mild rainfall aiding crop growth,High,LABEL_0,0.8567883372306824,neutral,0.7542980909347534
2024-04-24,Asia,Brazil,Chavez-Lucero,73780,1,Delayed,Farmers report higher yields thanks to favorable weather.,Strong winds causing crop damage,High,LABEL_2,0.8424614071846008,contradiction,0.7765336036682129
2024-03-14,South America,South Africa,Rodriguez Group,78758,21,Awaiting Dispatch,Drought conditions lead to reduced tomato supply.,Unexpected frost damaging crops,High,LABEL_0,0.75569087266922,neutral,0.6542615294456482
2024-07-09,South America,India,Brooks-Nelson,22653,12,Awaiting Dispatch,Drought conditions lead to reduced tomato supply.,Strong winds causing crop damage,High,LABEL_0,0.75569087266922,neutral,0.5535941123962402
2024-08-30,Oceania,Germany,"Williamson, Smith and Baker",18918,25,In Transit,Heavy rainfall damages crops in major producing areas.,High humidity increasing pest risks,High,LABEL_0,0.8395679593086243,neutral,0.779949426651001
2024-07-22,Africa,Germany,Johnson Inc,75091,21,In Transit,Tomato prices soar due to unexpected frost in the region.,Unexpected frost damaging crops,High,LABEL_0,0.565018355846405,neutral,0.893796980381012
2024-07-15,North America,India,Williams LLC,68988,20,Delayed,Improved infrastructure reduces transportation delays.,Unexpected frost damaging crops,High,LABEL_2,0.5472204089164734,contradiction,0.5674311518669128
2024-08-14,North America,Australia,"Hobbs, Washington and Taylor",95984,29,In Transit,Farmers report higher yields thanks to favorable weather.,Sunny and favorable for farming,High,LABEL_2,0.8424614071846008,neutral,0.9306681156158447
2024-11-12,North America,India,"Simon, Smith and Brown",49859,28,Awaiting Dispatch,Tomato prices soar due to unexpected frost in the region.,Drought leading to crop failure,High,LABEL_0,0.565018355846405,contradiction,0.7951890230178833
2024-07-07,South America,Australia,Parker-Fletcher,20758,23,Delayed,Farmers report higher yields thanks to favorable weather.,Strong winds causing crop damage,High,LABEL_2,0.8424614071846008,contradiction,0.8460862040519714
2024-09-11,Africa,China,Meyer Group,55695,14,Awaiting Dispatch,Drought conditions lead to reduced tomato supply.,High humidity increasing pest risks,Medium,LABEL_0,0.75569087266922,neutral,0.7559455037117004
2024-09-05,Europe,USA,"Lewis, Harris and Acosta",27961,5,Awaiting Dispatch,Drought conditions lead to reduced tomato supply.,Unexpected frost damaging crops,Low,LABEL_0,0.75569087266922,neutral,0.7118102312088013
2024-11-26,Africa,Brazil,Moore and Sons,40517,25,In Transit,Pest infestation reduces tomato output in key regions.,High humidity increasing pest risks,High,LABEL_0,0.7376754879951477,neutral,0.8834510445594788
