Date,Region,Country,Supplier Name,Inventory,Lead Time (days),Transport Status,News Sentiment,Weather Condition,Risk Factor
2024-07-13,South America,Germany,Mcdonald-Clark,36041,14,Delayed,Export restrictions lead to surplus in local markets.,High humidity increasing pest risks,High
2024-08-04,South America,Australia,Huffman PLC,33347,18,In Transit,Pest infestation reduces tomato output in key regions.,High humidity increasing pest risks,Medium
2024-07-14,Africa,Brazil,Payne-Little,42626,20,In Transit,Improved infrastructure reduces transportation delays.,Drought leading to crop failure,Medium
2024-06-18,North America,India,Miller Group,18751,6,In Transit,Government announces subsidies for tomato farmers.,Unexpected frost damaging crops,Low
2024-04-07,Oceania,South Africa,Johnson and Sons,98883,21,Delayed,Improved infrastructure reduces transportation delays.,High humidity increasing pest risks,High
2024-12-29,Africa,South Africa,"Kelly, Pearson and Davis",40316,19,Awaiting Dispatch,Improved infrastructure reduces transportation delays.,Unexpected frost damaging crops,Medium
2024-12-20,South America,Germany,"Ferrell, French and Stanley",19819,6,Awaiting Dispatch,Delays in transportation cause supply chain disruptions.,Unexpected frost damaging crops,High
2024-11-27,Oceania,South Africa,Franklin-Butler,44952,18,Delayed,Pest infestation reduces tomato output in key regions.,Sunny and favorable for farming,High
2024-01-29,Europe,USA,Reyes-Bates,44002,26,Delayed,Heavy rainfall damages crops in major producing areas.,Mild rainfall aiding crop growth,High
2025-01-18,North America,China,Mckee-Gonzales,29957,26,Delayed,Improved infrastructure reduces transportation delays.,Mild rainfall aiding crop growth,High
2024-05-28,Africa,China,Townsend-Munoz,36627,5,In Transit,Improved infrastructure reduces transportation delays.,Strong winds causing crop damage,High
2024-09-02,Europe,Brazil,Wilson LLC,75717,24,In Transit,Export restrictions lead to surplus in local markets.,Sunny and favorable for farming,High
2024-12-26,South America,Germany,Hess Group,63032,9,In Transit,Export restrictions lead to surplus in local markets.,Mild rainfall aiding crop growth,Low
2024-11-22,Oceania,Canada,Scott Inc,81641,25,In Transit,Delays in transportation cause supply chain disruptions.,Heavy rainfall causing waterlogging,High
2024-03-19,North America,Germany,Tucker-Sanford,68785,8,Awaiting Dispatch,Delays in transportation cause supply chain disruptions.,Strong winds causing crop damage,High
2024-06-26,South America,Australia,Rios-Smith,69183,7,Delayed,Delays in transportation cause supply chain disruptions.,Unexpected frost damaging crops,High
2025-01-14,Africa,USA,Welch-Wilson,23265,12,Awaiting Dispatch,Farmers report higher yields thanks to favorable weather.,Strong winds causing crop damage,High
2024-10-16,Asia,Australia,Fowler PLC,53882,3,In Transit,Labor shortages affect harvesting in rural areas.,High humidity increasing pest risks,Low
2024-12-10,North America,India,Johnson PLC,51450,21,Awaiting Dispatch,Tomato prices soar due to unexpected frost in the region.,Heavy rainfall causing waterlogging,High
2024-01-30,Oceania,Canada,"Brown, Perez and Jackson",3275,2,Awaiting Dispatch,Heavy rainfall damages crops in major producing areas.,Sunny and favorable for farming,Medium
2024-11-16,South America,China,Holden LLC,11333,3,Delayed,Heavy rainfall damages crops in major producing areas.,Strong winds causing crop damage,High
2024-10-06,Africa,Canada,Burnett LLC,41048,12,Awaiting Dispatch,Tomato prices soar due to unexpected frost in the region.,Heavy rainfall causing waterlogging,Medium
2024-03-19,Europe,Australia,"Lee, Bush and Parker",40961,2,In Transit,Export restrictions lead to surplus in local markets.,Heavy rainfall causing waterlogging,Low
2024-10-08,Europe,Australia,"Rivera, Gomez and Williams",56421,3,Delayed,Labor shortages affect harvesting in rural areas.,Unexpected frost damaging crops,High
2024-03-29,Africa,Australia,Norton Ltd,96024,18,Delayed,Pest infestation reduces tomato output in key regions.,Strong winds causing crop damage,High
2024-03-08,Africa,India,Green-White,96274,16,In Transit,Heavy rainfall damages crops in major producing areas.,Mild rainfall aiding crop growth,Medium
2024-08-16,Europe,India,"Sanders, Barry and Perkins",54581,28,Awaiting Dispatch,Tomato prices soar due to unexpected frost in the region.,Sunny and favorable for farming,High
2024-01-20,Asia,China,Booker-Thompson,78389,11,In Transit,Pest infestation reduces tomato output in key regions.,Unexpected frost damaging crops,Medium
2024-10-03,South America,India,"Wang, Nixon and Lucas",9631,25,In Transit,Heavy rainfall damages crops in major producing areas.,Unexpected frost damaging crops,High
2024-03-11,Asia,Australia,Smith-Obrien,87734,1,In Transit,Export restrictions lead to surplus in local markets.,Unexpected frost damaging crops,Low
2024-03-26,South America,USA,Mcclain Group,81308,7,Delayed,Pest infestation reduces tomato output in key regions.,Mild rainfall aiding crop growth,High
2024-02-28,North America,Australia,Levy Group,79544,28,Awaiting Dispatch,Labor shortages affect harvesting in rural areas.,Unexpected frost damaging crops,High
2024-05-22,South America,India,Cook Group,11459,14,Awaiting Dispatch,Pest infestation reduces tomato output in key regions.,Mild rainfall aiding crop growth,Medium
2024-11-06,North America,India,Cline Group,16108,11,Delayed,Government announces subsidies for tomato farmers.,Drought leading to crop failure,High
2024-07-05,Africa,India,Hernandez and Sons,24971,2,In Transit,Export restrictions lead to surplus in local markets.,High humidity increasing pest risks,Low
2024-12-17,Oceania,China,Thompson-Weaver,94502,20,Awaiting Dispatch,Export restrictions lead to surplus in local markets.,Heavy rainfall causing waterlogging,Medium
2024-03-29,Asia,South Africa,Bauer-Higgins,64702,20,Delayed,Drought conditions lead to reduced tomato supply.,Heavy rainfall causing waterlogging,High
2024-06-18,Oceania,Brazil,Duke Ltd,42815,10,In Transit,Pest infestation reduces tomato output in key regions.,Unexpected frost damaging crops,Medium
2024-12-21,Africa,Brazil,"Hall, Washington and King",36231,27,In Transit,Heavy rainfall damages crops in major producing areas.,Sunny and favorable for farming,High
2024-04-05,Asia,USA,Dunn LLC,95050,28,Awaiting Dispatch,Improved infrastructure reduces transportation delays.,Mild rainfall aiding crop growth,High
2024-12-15,Asia,USA,"Higgins, Williams and Nguyen",76901,25,Delayed,Improved infrastructure reduces transportation delays.,Mild rainfall aiding crop growth,High
2024-09-16,South America,Brazil,Wyatt PLC,50057,21,In Transit,Farmers report higher yields thanks to favorable weather.,Strong winds causing crop damage,High
2024-01-28,Europe,South Africa,"Taylor, Duffy and Harvey",97846,26,In Transit,Heavy rainfall damages crops in major producing areas.,Strong winds causing crop damage,High
2024-06-23,Oceania,USA,Shaw and Sons,36921,1,Awaiting Dispatch,Delays in transportation cause supply chain disruptions.,High humidity increasing pest risks,High
2024-09-22,Africa,Brazil,Johnson Ltd,10292,28,In Transit,Drought conditions lead to reduced tomato supply.,Sunny and favorable for farming,High
2024-09-11,Asia,Canada,Moran and Sons,27215,19,Delayed,Tomato prices soar due to unexpected frost in the region.,High humidity increasing pest risks,High
2024-12-16,Europe,Canada,"Dalton, Ray and Young",71697,17,In Transit,Delays in transportation cause supply chain disruptions.,Strong winds causing crop damage,High
2024-07-06,South America,India,Taylor-Thomas,23124,9,In Transit,Heavy rainfall damages crops in major producing areas.,Heavy rainfall causing waterlogging,Low
2024-05-28,Oceania,India,Tapia LLC,40097,7,In Transit,Improved infrastructure reduces transportation delays.,Sunny and favorable for farming,Low
2024-04-24,Oceania,Australia,"Allen, Clark and Gonzalez",42691,19,In Transit,Heavy rainfall damages crops in major producing areas.,Unexpected frost damaging crops,Medium
2024-03-30,Oceania,South Africa,Anderson-Warner,4723,3,Awaiting Dispatch,Farmers report higher yields thanks to favorable weather.,Sunny and favorable for farming,Medium
2024-05-01,Asia,China,Wilson Ltd,8908,4,In Transit,Farmers report higher yields thanks to favorable weather.,Heavy rainfall causing waterlogging,Low
2024-04-18,Oceania,Germany,"Mclaughlin, Jimenez and Williams",42825,1,Delayed,Improved infrastructure reduces transportation delays.,Heavy rainfall causing waterlogging,High
2025-01-10,North America,China,"Bass, Melton and Contreras",47288,25,In Transit,Government announces subsidies for tomato farmers.,Strong winds causing crop damage,High
2024-05-17,Asia,India,"Wiggins, Davis and Estrada",93158,18,Awaiting Dispatch,Labor shortages affect harvesting in rural areas.,Mild rainfall aiding crop growth,Medium
2024-07-12,Asia,China,Scott-Moore,83114,28,Delayed,Farmers report higher yields thanks to favorable weather.,Sunny and favorable for farming,High
2024-05-01,Asia,South Africa,Knight-Farrell,82323,28,Delayed,Drought conditions lead to reduced tomato supply.,Drought leading to crop failure,High
2025-01-15,North America,India,"Vaughn, Moore and Hamilton",97730,6,In Transit,Pest infestation reduces tomato output in key regions.,Mild rainfall aiding crop growth,Medium
2024-06-27,Europe,Australia,Briggs Ltd,65183,8,Delayed,Farmers report higher yields thanks to favorable weather.,Mild rainfall aiding crop growth,High
2024-11-14,Oceania,Germany,"Murray, Goodwin and Hayden",62622,2,Awaiting Dispatch,Government announces subsidies for tomato farmers.,High humidity increasing pest risks,Low
2024-11-14,Europe,Australia,Harrison Inc,69863,13,In Transit,Labor shortages affect harvesting in rural areas.,Sunny and favorable for farming,Medium
2024-07-04,South America,Germany,Edwards-Ramirez,40223,8,In Transit,Government announces subsidies for tomato farmers.,Mild rainfall aiding crop growth,Low
2024-03-15,North America,India,"Williams, Kennedy and Avila",13782,20,Delayed,Labor shortages affect harvesting in rural areas.,Drought leading to crop failure,High
2025-01-05,Asia,USA,"Hubbard, Smith and Clark",74478,21,In Transit,Tomato prices soar due to unexpected frost in the region.,Mild rainfall aiding crop growth,High
2024-12-04,Europe,India,Livingston and Sons,66018,19,Awaiting Dispatch,Pest infestation reduces tomato output in key regions.,High humidity increasing pest risks,Medium
2024-04-29,South America,Canada,Reyes-Bowen,81877,24,Awaiting Dispatch,Tomato prices soar due to unexpected frost in the region.,Drought leading to crop failure,High
2024-04-15,North America,Canada,"Landry, Horn and Jensen",38370,3,Awaiting Dispatch,Delays in transportation cause supply chain disruptions.,Sunny and favorable for farming,High
2024-03-06,Africa,Australia,Cooper-Mills,98883,7,In Transit,Government announces subsidies for tomato farmers.,Sunny and favorable for farming,Low
2025-01-07,South America,Canada,"Williamson, Anderson and Marks",62521,7,Delayed,Drought conditions lead to reduced tomato supply.,Heavy rainfall causing waterlogging,High
2024-07-24,Asia,Canada,"Moore, Maldonado and Coleman",61635,24,In Transit,Labor shortages affect harvesting in rural areas.,Heavy rainfall causing waterlogging,High
2024-02-19,Europe,Australia,Bowman-Arnold,47880,26,Awaiting Dispatch,Drought conditions lead to reduced tomato supply.,Mild rainfall aiding crop growth,High
2024-12-01,Africa,Brazil,Williams-Reid,76959,7,Delayed,Drought conditions lead to reduced tomato supply.,Drought leading to crop failure,High
2024-05-24,Asia,USA,"Ray, Wells and Evans",55675,8,Delayed,Government announces subsidies for tomato farmers.,Sunny and favorable for farming,High
2024-08-02,Africa,China,Garrett Group,18826,17,In Transit,Heavy rainfall damages crops in major producing areas.,High humidity increasing pest risks,Medium
2024-05-07,Europe,Australia,Rose-Hudson,60944,15,Delayed,Heavy rainfall damages crops in major producing areas.,Heavy rainfall causing waterlogging,High
2024-06-24,Asia,Australia,Price LLC,85844,2,In Transit,Government announces subsidies for tomato farmers.,Drought leading to crop failure,Medium
2024-10-18,Asia,Brazil,"Rodriguez, Hill and Johnson",15840,5,Awaiting Dispatch,Government announces subsidies for tomato farmers.,Mild rainfall aiding crop growth,Low
2024-07-18,Asia,Australia,Short-Hines,1920,18,In Transit,Pest infestation reduces tomato output in key regions.,Mild rainfall aiding crop growth,High
2024-11-28,South America,India,Benton PLC,53467,16,In Transit,Improved infrastructure reduces transportation delays.,Sunny and favorable for farming,Medium
2024-08-26,Oceania,China,Stone Group,76743,9,In Transit,Improved infrastructure reduces transportation delays.,Mild rainfall aiding crop growth,Low
2024-02-26,Oceania,India,James-Murphy,97908,20,Delayed,Pest infestation reduces tomato output in key regions.,Heavy rainfall causing waterlogging,High
2024-07-30,Oceania,Germany,Barker LLC,49614,2,Awaiting Dispatch,Drought conditions lead to reduced tomato supply.,Strong winds causing crop damage,High
2024-07-03,South America,USA,Myers Ltd,11281,26,Delayed,Export restrictions lead to surplus in local markets.,Heavy rainfall causing waterlogging,High
2024-02-04,Europe,South Africa,"Reynolds, Pittman and Branch",26474,9,In Transit,Export restrictions lead to surplus in local markets.,Unexpected frost damaging crops,Low
2024-05-13,South America,Brazil,"Rollins, Weiss and Johnson",9508,22,In Transit,Drought conditions lead to reduced tomato supply.,Strong winds causing crop damage,High
2024-03-08,Oceania,India,Moreno-Kim,69711,3,In Transit,Pest infestation reduces tomato output in key regions.,Sunny and favorable for farming,Medium
2024-06-12,South America,Australia,Montgomery LLC,80979,3,In Transit,Delays in transportation cause supply chain disruptions.,Mild rainfall aiding crop growth,High
2025-01-10,Europe,India,Collins-Barrett,49410,14,Awaiting Dispatch,Export restrictions lead to surplus in local markets.,Drought leading to crop failure,Medium
2024-10-30,South America,USA,Mayo-Villarreal,67925,16,In Transit,Pest infestation reduces tomato output in key regions.,High humidity increasing pest risks,Medium
2024-07-23,Asia,Australia,Galvan Group,22935,9,Delayed,Drought conditions lead to reduced tomato supply.,Sunny and favorable for farming,High
2024-10-07,Europe,Australia,Knight PLC,82350,27,In Transit,Labor shortages affect harvesting in rural areas.,High humidity increasing pest risks,High
2024-03-08,North America,South Africa,Taylor Inc,92668,29,Delayed,Tomato prices soar due to unexpected frost in the region.,Mild rainfall aiding crop growth,High
2024-06-21,North America,India,Lee-Ward,37081,18,Awaiting Dispatch,Government announces subsidies for tomato farmers.,Sunny and favorable for farming,Medium
2024-12-13,Africa,Brazil,Randall-Parker,26137,19,In Transit,Tomato prices soar due to unexpected frost in the region.,Strong winds causing crop damage,High
2024-06-29,Oceania,Australia,Davila-Padilla,24390,6,Delayed,Tomato prices soar due to unexpected frost in the region.,Drought leading to crop failure,High
2024-05-27,Africa,South Africa,Brooks-Miller,37057,23,Awaiting Dispatch,Pest infestation reduces tomato output in key regions.,Sunny and favorable for farming,High
2024-06-26,South America,China,Daniels Group,40084,15,Delayed,Tomato prices soar due to unexpected frost in the region.,High humidity increasing pest risks,High
2024-02-03,North America,South Africa,Webster-Dorsey,34891,18,In Transit,Delays in transportation cause supply chain disruptions.,Heavy rainfall causing waterlogging,High
2024-07-25,Asia,South Africa,"Williams, Mendoza and Morris",14877,15,Awaiting Dispatch,Export restrictions lead to surplus in local markets.,Mild rainfall aiding crop growth,Medium
2024-08-25,North America,USA,Bradley LLC,74252,25,In Transit,Heavy rainfall damages crops in major producing areas.,Strong winds causing crop damage,High
2024-02-07,Europe,Australia,George-Molina,37974,28,Delayed,Government announces subsidies for tomato farmers.,Drought leading to crop failure,High
2024-03-17,Europe,Canada,Scott LLC,7442,15,In Transit,Tomato prices soar due to unexpected frost in the region.,High humidity increasing pest risks,Medium
2024-11-10,Africa,India,"Jacobson, Montgomery and Andersen",23899,9,In Transit,Farmers report higher yields thanks to favorable weather.,Sunny and favorable for farming,Low
2024-03-25,North America,Canada,Miller-Juarez,44542,29,In Transit,Tomato prices soar due to unexpected frost in the region.,Sunny and favorable for farming,High
2024-05-31,Africa,Brazil,"Newton, Walters and Harris",70995,23,Delayed,Heavy rainfall damages crops in major producing areas.,Unexpected frost damaging crops,High
2024-01-26,North America,South Africa,Williams-Jones,72544,24,In Transit,Pest infestation reduces tomato output in key regions.,Mild rainfall aiding crop growth,High
2024-09-26,Oceania,South Africa,White-Turner,81444,22,Delayed,Farmers report higher yields thanks to favorable weather.,Strong winds causing crop damage,High
2024-09-12,North America,Canada,Perez LLC,13514,26,Delayed,Delays in transportation cause supply chain disruptions.,Sunny and favorable for farming,High
2024-07-07,Oceania,Australia,"Patton, Johnson and Farmer",75798,30,In Transit,Drought conditions lead to reduced tomato supply.,Heavy rainfall causing waterlogging,High
2024-12-14,Oceania,Canada,Mitchell Group,42456,28,Delayed,Labor shortages affect harvesting in rural areas.,Heavy rainfall causing waterlogging,High
2024-04-27,Oceania,Germany,"Mitchell, Tyler and Johns",75982,27,Awaiting Dispatch,Farmers report higher yields thanks to favorable weather.,Heavy rainfall causing waterlogging,High
2024-01-26,Asia,China,Nelson PLC,1707,23,Delayed,Delays in transportation cause supply chain disruptions.,Mild rainfall aiding crop growth,High
2024-04-24,Asia,Brazil,Chavez-Lucero,73780,1,Delayed,Farmers report higher yields thanks to favorable weather.,Strong winds causing crop damage,High
2024-03-14,South America,South Africa,Rodriguez Group,78758,21,Awaiting Dispatch,Drought conditions lead to reduced tomato supply.,Unexpected frost damaging crops,High
2024-07-09,South America,India,Brooks-Nelson,22653,12,Awaiting Dispatch,Drought conditions lead to reduced tomato supply.,Strong winds causing crop damage,High
2024-08-30,Oceania,Germany,"Williamson, Smith and Baker",18918,25,In Transit,Heavy rainfall damages crops in major producing areas.,High humidity increasing pest risks,High
2024-07-22,Africa,Germany,Johnson Inc,75091,21,In Transit,Tomato prices soar due to unexpected frost in the region.,Unexpected frost damaging crops,High
2024-07-15,North America,India,Williams LLC,68988,20,Delayed,Improved infrastructure reduces transportation delays.,Unexpected frost damaging crops,High
2024-08-14,North America,Australia,"Hobbs, Washington and Taylor",95984,29,In Transit,Farmers report higher yields thanks to favorable weather.,Sunny and favorable for farming,High
2024-11-12,North America,India,"Simon, Smith and Brown",49859,28,Awaiting Dispatch,Tomato prices soar due to unexpected frost in the region.,Drought leading to crop failure,High
2024-07-07,South America,Australia,Parker-Fletcher,20758,23,Delayed,Farmers report higher yields thanks to favorable weather.,Strong winds causing crop damage,High
2024-09-11,Africa,China,Meyer Group,55695,14,Awaiting Dispatch,Drought conditions lead to reduced tomato supply.,High humidity increasing pest risks,Medium
2024-09-05,Europe,USA,"Lewis, Harris and Acosta",27961,5,Awaiting Dispatch,Drought conditions lead to reduced tomato supply.,Unexpected frost damaging crops,Low
2024-11-26,Africa,Brazil,Moore and Sons,40517,25,In Transit,Pest infestation reduces tomato output in key regions.,High humidity increasing pest risks,High
2024-09-16,North America,Brazil,Lutz-Gutierrez,19690,20,In Transit,Tomato prices soar due to unexpected frost in the region.,Strong winds causing crop damage,High
2024-10-30,Oceania,Australia,"Newman, Riggs and Martin",81472,5,Awaiting Dispatch,Heavy rainfall damages crops in major producing areas.,High humidity increasing pest risks,Low
2024-07-18,Oceania,South Africa,"Williams, Reeves and Byrd",52460,26,Delayed,Export restrictions lead to surplus in local markets.,Heavy rainfall causing waterlogging,High
2024-08-26,Africa,South Africa,Macdonald-Garcia,18184,12,In Transit,Government announces subsidies for tomato farmers.,High humidity increasing pest risks,Medium
2024-03-12,Asia,Australia,Tucker and Sons,45597,12,Delayed,Labor shortages affect harvesting in rural areas.,Heavy rainfall causing waterlogging,High
2024-06-14,North America,China,"Heath, Ryan and Wells",92951,2,In Transit,Farmers report higher yields thanks to favorable weather.,Unexpected frost damaging crops,Low
2024-03-18,North America,China,"Ruiz, Day and Schmidt",46583,5,In Transit,Delays in transportation cause supply chain disruptions.,Mild rainfall aiding crop growth,High
2024-09-08,Africa,India,Moore-Mccarthy,46061,21,In Transit,Farmers report higher yields thanks to favorable weather.,Strong winds causing crop damage,High
2024-04-30,Asia,Canada,"Salazar, King and Hunter",48756,25,In Transit,Delays in transportation cause supply chain disruptions.,Mild rainfall aiding crop growth,High
2024-10-10,North America,China,Johnson-Bradford,59111,20,In Transit,Tomato prices soar due to unexpected frost in the region.,Strong winds causing crop damage,High
2025-01-10,South America,Australia,"Pacheco, Chavez and Carter",51415,17,Awaiting Dispatch,Export restrictions lead to surplus in local markets.,High humidity increasing pest risks,Medium
2024-08-08,Oceania,USA,Carpenter-Cruz,3073,7,Delayed,Export restrictions lead to surplus in local markets.,Mild rainfall aiding crop growth,High
2024-02-26,South America,Brazil,Mcgee PLC,27122,17,Delayed,Drought conditions lead to reduced tomato supply.,Sunny and favorable for farming,High
2024-06-27,North America,Australia,Williams LLC,59554,21,Awaiting Dispatch,Government announces subsidies for tomato farmers.,High humidity increasing pest risks,High
2024-03-12,North America,Australia,Stone Group,90397,8,In Transit,Tomato prices soar due to unexpected frost in the region.,Sunny and favorable for farming,Low
2025-01-08,Africa,USA,Gardner-Martin,82011,11,Awaiting Dispatch,Delays in transportation cause supply chain disruptions.,Sunny and favorable for farming,High
2024-05-09,Asia,South Africa,Gonzalez Ltd,3502,18,Delayed,Export restrictions lead to surplus in local markets.,Strong winds causing crop damage,High
2024-12-31,Europe,Canada,Arnold-Patel,45424,21,Delayed,Pest infestation reduces tomato output in key regions.,High humidity increasing pest risks,High
2024-02-13,South America,South Africa,Mullins LLC,28688,19,In Transit,Drought conditions lead to reduced tomato supply.,Unexpected frost damaging crops,Medium
2024-12-14,Oceania,Canada,"Taylor, Farley and Klein",84488,20,Delayed,Delays in transportation cause supply chain disruptions.,Sunny and favorable for farming,High
2024-09-13,South America,India,Moran Inc,21244,19,Delayed,Drought conditions lead to reduced tomato supply.,Unexpected frost damaging crops,High
2024-04-30,Oceania,China,Pruitt-Jones,9778,18,Delayed,Tomato prices soar due to unexpected frost in the region.,Mild rainfall aiding crop growth,High
2024-11-18,North America,Australia,Austin PLC,77028,15,Delayed,Export restrictions lead to surplus in local markets.,Mild rainfall aiding crop growth,High
2024-04-05,Europe,Germany,Hodges-Moore,4779,1,Awaiting Dispatch,Improved infrastructure reduces transportation delays.,Mild rainfall aiding crop growth,Medium
2024-02-02,Europe,Brazil,Guzman-Cameron,39315,17,In Transit,Pest infestation reduces tomato output in key regions.,High humidity increasing pest risks,Medium
2024-07-28,Asia,South Africa,Smith Group,65755,16,Awaiting Dispatch,Delays in transportation cause supply chain disruptions.,Strong winds causing crop damage,High
2024-10-17,South America,Canada,"Maxwell, Palmer and Browning",47453,13,Awaiting Dispatch,Delays in transportation cause supply chain disruptions.,Strong winds causing crop damage,High
2024-07-16,South America,Brazil,Hobbs LLC,73826,10,In Transit,Delays in transportation cause supply chain disruptions.,Strong winds causing crop damage,High
2024-07-29,South America,USA,White-Lowe,54120,25,Delayed,Export restrictions lead to surplus in local markets.,Strong winds causing crop damage,High
2024-11-12,Africa,India,Reynolds-Grimes,30786,13,Delayed,Heavy rainfall damages crops in major producing areas.,Heavy rainfall causing waterlogging,High
2024-12-31,North America,USA,"Ponce, Davis and Ward",98436,5,Awaiting Dispatch,Heavy rainfall damages crops in major producing areas.,Strong winds causing crop damage,High
2024-05-25,Asia,USA,"Hubbard, Hubbard and Lee",53432,30,Delayed,Labor shortages affect harvesting in rural areas.,Heavy rainfall causing waterlogging,High
2024-07-25,Europe,China,"Ray, White and Johnson",22551,15,In Transit,Labor shortages affect harvesting in rural areas.,Mild rainfall aiding crop growth,Medium
2024-07-26,Asia,USA,Carpenter-Drake,92789,3,Awaiting Dispatch,Heavy rainfall damages crops in major producing areas.,Mild rainfall aiding crop growth,Low
2024-07-21,Asia,Brazil,Romero Ltd,13141,8,Awaiting Dispatch,Export restrictions lead to surplus in local markets.,High humidity increasing pest risks,Low
2024-06-06,Oceania,Brazil,"Franklin, Bates and Stephens",51847,11,In Transit,Drought conditions lead to reduced tomato supply.,Heavy rainfall causing waterlogging,Medium
2024-11-18,North America,China,"Hall, Poole and White",84978,26,Delayed,Pest infestation reduces tomato output in key regions.,Unexpected frost damaging crops,High
2024-03-02,North America,China,"Yates, Horne and Macdonald",69152,9,Awaiting Dispatch,Tomato prices soar due to unexpected frost in the region.,High humidity increasing pest risks,Low
2025-01-12,Europe,Australia,Yang-Carson,89758,30,Delayed,Farmers report higher yields thanks to favorable weather.,Drought leading to crop failure,High
2024-08-26,Europe,Germany,Hooper-Vaughn,1644,29,Delayed,Labor shortages affect harvesting in rural areas.,Heavy rainfall causing waterlogging,High
2024-03-17,South America,Brazil,Trevino-Stone,62362,11,Awaiting Dispatch,Tomato prices soar due to unexpected frost in the region.,High humidity increasing pest risks,Medium
2024-03-10,South America,Brazil,"Johnson, Graham and Thomas",98683,3,Delayed,Government announces subsidies for tomato farmers.,High humidity increasing pest risks,High
2024-09-14,Asia,South Africa,Robinson Ltd,12637,20,In Transit,Labor shortages affect harvesting in rural areas.,Drought leading to crop failure,Medium
2024-11-19,South America,Germany,Glover Ltd,66285,15,Awaiting Dispatch,Labor shortages affect harvesting in rural areas.,Strong winds causing crop damage,High
2024-08-12,South America,South Africa,"Williams, Gonzalez and Gibson",10696,7,In Transit,Delays in transportation cause supply chain disruptions.,Drought leading to crop failure,High
2024-09-07,South America,USA,"Johnson, Bean and Jones",94500,7,In Transit,Pest infestation reduces tomato output in key regions.,Sunny and favorable for farming,Medium
2024-07-26,Oceania,Germany,Griffith Ltd,47200,7,Awaiting Dispatch,Improved infrastructure reduces transportation delays.,Mild rainfall aiding crop growth,Low
2024-06-06,South America,USA,Thomas-Schwartz,91479,19,Delayed,Government announces subsidies for tomato farmers.,Unexpected frost damaging crops,High
2024-04-05,Asia,Brazil,"Gallegos, Hayes and Greer",43121,2,Delayed,Tomato prices soar due to unexpected frost in the region.,High humidity increasing pest risks,High
2024-04-12,Asia,USA,"Dickerson, Fields and Bradley",68328,11,Delayed,Drought conditions lead to reduced tomato supply.,Drought leading to crop failure,High
2024-01-24,North America,Canada,Hubbard Ltd,76486,30,In Transit,Tomato prices soar due to unexpected frost in the region.,Sunny and favorable for farming,High
2024-09-04,North America,Germany,Lee LLC,26114,30,Delayed,Labor shortages affect harvesting in rural areas.,Sunny and favorable for farming,High
2024-09-08,Europe,China,"Chen, Page and Obrien",98193,14,Awaiting Dispatch,Delays in transportation cause supply chain disruptions.,Heavy rainfall causing waterlogging,High
2024-11-04,Oceania,Australia,"Owens, Hamilton and Evans",69057,14,In Transit,Heavy rainfall damages crops in major producing areas.,Drought leading to crop failure,Medium
2024-07-07,Europe,Canada,"Holland, Aguilar and Green",93142,5,In Transit,Delays in transportation cause supply chain disruptions.,Drought leading to crop failure,High
2024-08-10,Oceania,Australia,Nelson Inc,16155,5,In Transit,Pest infestation reduces tomato output in key regions.,Strong winds causing crop damage,High
2024-05-21,North America,Germany,Ross LLC,93955,20,Awaiting Dispatch,Heavy rainfall damages crops in major producing areas.,Strong winds causing crop damage,High
